Organization (Aggregated),Enabled Users,% Active Users,Average Copilot Actions,Avg Active Days,% Power Users,Date
Proseware Inc,295,30.6%,4.8,0.6,,2025-04-13 00:00:00
Proseware Inc,298,27.2%,4.4,1.4,,2025-04-20 00:00:00
Proseware Inc,301,32.5%,3.2,1.5,,2025-04-27 00:00:00
Proseware Inc,304,34.0%,3.2,1.0,,2025-05-04 00:00:00
Proseware Inc,307,32.0%,4.9,1.3,,2025-05-11 00:00:00
Proseware Inc,310,29.8%,2.8,0.8,,2025-05-18 00:00:00
Proseware Inc,313,27.1%,2.2,0.8,,2025-05-25 00:00:00
Proseware Inc,316,22.8%,3.8,1.5,,2025-06-01 00:00:00
Proseware Inc,319,26.5%,2.5,0.7,,2025-06-08 00:00:00
Proseware Inc,322,25.0%,2.9,0.7,,2025-06-15 00:00:00
Proseware Inc,325,30.2%,3.8,1.0,,2025-06-22 00:00:00
Proseware Inc,328,19.1%,4.1,1.2,,2025-06-29 00:00:00
Proseware Inc,331,34.5%,3.0,1.3,,2025-07-06 00:00:00
Proseware Inc,334,30.8%,1.6,0.6,,2025-07-13 00:00:00
Proseware Inc,337,51.3%,11.0,2.1,6.7%,2025-07-20 00:00:00
Proseware Inc,340,51.0%,6.7,2.2,4.2%,2025-07-27 00:00:00
Proseware Inc,343,48.3%,12.1,2.3,4.1%,2025-08-03 00:00:00
Proseware Inc,346,39.7%,10.1,2.2,5.0%,2025-08-10 00:00:00
Proseware Inc,349,38.0%,8.0,1.7,3.7%,2025-08-17 00:00:00
Proseware Inc,352,54.1%,8.4,2.0,4.6%,2025-08-24 00:00:00
Proseware Inc,355,38.9%,9.3,2.1,6.9%,2025-08-31 00:00:00
Proseware Inc,358,45.4%,6.7,2.2,4.4%,2025-09-07 00:00:00
Proseware Inc,361,61.3%,8.9,2.1,4.4%,2025-09-14 00:00:00
Proseware Inc,363,55.3%,7.4,2.0,4.0%,2025-09-21 00:00:00
Proseware Inc,366,41.9%,10.2,2.0,5.2%,2025-09-28 00:00:00
Proseware Inc,369,47.4%,11.0,2.2,6.8%,2025-10-05 00:00:00
Proseware Inc,372,44.8%,12.1,1.9,4.2%,2025-10-12 00:00:00
Proseware Inc,375,51.7%,9.2,2.7,3.9%,2025-10-19 00:00:00
Proseware Inc,378,44.2%,10.0,1.8,5.8%,2025-10-26 00:00:00
Proseware Inc,381,35.9%,10.0,1.9,6.7%,2025-11-02 00:00:00
Proseware Inc,384,38.6%,6.5,2.2,4.4%,2025-11-09 00:00:00
Proseware Inc,387,38.2%,6.7,2.2,3.1%,2025-11-16 00:00:00
Proseware Inc,390,44.6%,11.9,2.5,5.4%,2025-11-23 00:00:00
Proseware Inc,393,41.2%,11.4,2.2,7.5%,2025-11-30 00:00:00
Proseware Inc,396,78.3%,23.9,3.4,17.7%,2025-12-07 00:00:00
Proseware Inc,399,62.7%,15.1,3.4,17.6%,2025-12-14 00:00:00
Proseware Inc,402,63.8%,15.3,3.0,16.8%,2025-12-21 00:00:00
Proseware Inc,405,65.9%,24.5,3.7,15.8%,2025-12-28 00:00:00
Proseware Inc,408,74.3%,17.9,3.3,14.8%,2026-01-04 00:00:00
Proseware Inc,411,78.7%,16.1,3.5,17.9%,2026-01-11 00:00:00
Proseware Inc,414,72.7%,16.1,3.7,18.2%,2026-01-18 00:00:00
Proseware Inc,417,70.4%,16.2,3.6,19.8%,2026-01-25 00:00:00
Proseware Inc,420,77.5%,23.2,3.7,18.4%,2026-02-01 00:00:00
Proseware Inc,423,70.9%,24.7,3.8,17.6%,2026-02-08 00:00:00
Proseware Inc,426,64.9%,20.8,3.0,18.6%,2026-02-15 00:00:00
Proseware Inc,429,72.5%,24.1,3.5,19.5%,2026-02-22 00:00:00
Proseware Inc,432,71.8%,18.7,3.2,17.0%,2026-03-01 00:00:00
Litware Inc - Engineering,212,30.1%,2.3,0.6,,2025-03-30 00:00:00
Litware Inc - Engineering,214,31.0%,3.2,1.3,,2025-04-06 00:00:00
Litware Inc - Engineering,216,22.7%,2.6,1.6,,2025-04-13 00:00:00
Litware Inc - Engineering,218,24.2%,3.8,1.1,,2025-04-20 00:00:00
Litware Inc - Engineering,220,29.0%,2.7,1.1,,2025-04-27 00:00:00
Litware Inc - Engineering,223,33.5%,2.0,0.8,,2025-05-04 00:00:00
Litware Inc - Engineering,225,23.3%,3.9,0.6,,2025-05-11 00:00:00
Litware Inc - Engineering,227,21.2%,4.4,1.2,,2025-05-18 00:00:00
Litware Inc - Engineering,229,21.8%,3.7,0.5,,2025-05-25 00:00:00
Litware Inc - Engineering,231,26.4%,3.3,1.0,,2025-06-01 00:00:00
Litware Inc - Engineering,234,30.6%,3.9,1.3,,2025-06-08 00:00:00
Litware Inc - Engineering,236,32.4%,2.5,1.4,,2025-06-15 00:00:00
Litware Inc - Engineering,238,28.0%,2.2,0.8,,2025-06-22 00:00:00
Litware Inc - Engineering,240,20.5%,2.7,1.5,,2025-06-29 00:00:00
Litware Inc - Engineering,242,26.9%,3.4,1.4,,2025-07-06 00:00:00
Litware Inc - Engineering,245,35.9%,4.1,1.0,,2025-07-13 00:00:00
Litware Inc - Engineering,247,49.7%,8.5,2.3,3.9%,2025-07-20 00:00:00
Litware Inc - Engineering,249,50.9%,11.4,1.8,5.5%,2025-07-27 00:00:00
Litware Inc - Engineering,251,46.3%,7.8,2.1,4.8%,2025-08-03 00:00:00
Litware Inc - Engineering,253,50.5%,10.7,1.5,4.0%,2025-08-10 00:00:00
Litware Inc - Engineering,256,50.8%,6.6,1.8,6.9%,2025-08-17 00:00:00
Litware Inc - Engineering,258,37.9%,7.1,1.7,7.1%,2025-08-24 00:00:00
Litware Inc - Engineering,260,57.9%,9.8,1.5,6.6%,2025-08-31 00:00:00
Litware Inc - Engineering,262,50.8%,10.2,2.5,6.9%,2025-09-07 00:00:00
Litware Inc - Engineering,265,50.1%,8.8,1.5,3.4%,2025-09-14 00:00:00
Litware Inc - Engineering,267,57.7%,10.0,1.5,5.3%,2025-09-21 00:00:00
Litware Inc - Engineering,269,57.4%,7.3,2.5,7.0%,2025-09-28 00:00:00
Litware Inc - Engineering,271,43.0%,10.2,1.8,3.1%,2025-10-05 00:00:00
Litware Inc - Engineering,273,49.9%,8.7,1.7,6.2%,2025-10-12 00:00:00
Litware Inc - Engineering,276,35.9%,10.5,2.0,7.0%,2025-10-19 00:00:00
Litware Inc - Engineering,278,55.2%,10.7,2.0,5.0%,2025-10-26 00:00:00
Litware Inc - Engineering,280,39.8%,6.2,1.5,3.1%,2025-11-02 00:00:00
Litware Inc - Engineering,282,45.5%,8.2,1.9,7.0%,2025-11-09 00:00:00
Litware Inc - Engineering,284,49.3%,9.0,1.7,7.0%,2025-11-16 00:00:00
Litware Inc - Engineering,287,46.2%,10.0,2.4,7.0%,2025-11-23 00:00:00
Litware Inc - Engineering,289,56.6%,11.6,2.1,5.1%,2025-11-30 00:00:00
Litware Inc - Engineering,291,62.7%,22.6,3.7,15.7%,2025-12-07 00:00:00
Litware Inc - Engineering,293,61.9%,23.9,3.8,16.4%,2025-12-14 00:00:00
Litware Inc - Engineering,295,64.7%,23.1,3.9,18.1%,2025-12-21 00:00:00
Litware Inc - Engineering,298,73.3%,17.6,3.1,13.9%,2025-12-28 00:00:00
Litware Inc - Engineering,300,59.3%,20.5,3.4,17.1%,2026-01-04 00:00:00
Litware Inc - Engineering,302,74.8%,22.4,3.8,15.2%,2026-01-11 00:00:00
Litware Inc - Engineering,304,61.0%,24.6,3.1,19.8%,2026-01-18 00:00:00
Litware Inc - Engineering,306,74.5%,22.7,4.0,17.0%,2026-01-25 00:00:00
Litware Inc - Engineering,309,64.6%,21.6,3.7,19.5%,2026-02-01 00:00:00
Litware Inc - Engineering,311,71.5%,23.8,3.8,14.0%,2026-02-08 00:00:00
Litware Inc - Engineering,313,72.8%,22.8,3.1,14.4%,2026-02-15 00:00:00
Litware Inc - Engineering,315,74.1%,14.9,3.2,14.8%,2026-02-22 00:00:00
Litware Inc - Engineering,318,77.8%,20.2,3.2,15.9%,2026-03-01 00:00:00
A. Datum Corporation,118,34.5%,3.6,0.9,,2025-03-30 00:00:00
A. Datum Corporation,119,22.2%,2.9,1.6,,2025-04-06 00:00:00
A. Datum Corporation,121,30.2%,4.7,1.2,,2025-04-13 00:00:00
A. Datum Corporation,122,30.2%,4.3,0.7,,2025-04-20 00:00:00
A. Datum Corporation,124,27.6%,4.3,1.1,,2025-04-27 00:00:00
A. Datum Corporation,125,30.4%,4.2,1.5,,2025-05-04 00:00:00
A. Datum Corporation,127,33.2%,2.4,1.3,,2025-05-11 00:00:00
A. Datum Corporation,129,21.3%,2.4,1.2,,2025-05-18 00:00:00
A. Datum Corporation,130,31.8%,1.9,1.1,,2025-05-25 00:00:00
A. Datum Corporation,132,27.5%,2.2,1.1,,2025-06-01 00:00:00
A. Datum Corporation,133,34.4%,3.4,1.3,,2025-06-08 00:00:00
A. Datum Corporation,135,29.8%,3.2,0.9,,2025-06-15 00:00:00
A. Datum Corporation,137,23.9%,3.9,0.4,,2025-06-22 00:00:00
A. Datum Corporation,138,30.6%,4.7,1.0,,2025-06-29 00:00:00
A. Datum Corporation,140,20.6%,3.0,1.1,,2025-07-06 00:00:00
A. Datum Corporation,141,31.8%,3.4,0.8,,2025-07-13 00:00:00
A. Datum Corporation,143,34.3%,8.0,2.3,3.5%,2025-07-20 00:00:00
A. Datum Corporation,144,43.3%,7.2,1.6,6.5%,2025-07-27 00:00:00
A. Datum Corporation,146,36.6%,8.9,2.0,3.7%,2025-08-03 00:00:00
A. Datum Corporation,148,60.9%,7.5,1.7,3.8%,2025-08-10 00:00:00
A. Datum Corporation,149,51.8%,9.9,1.5,3.1%,2025-08-17 00:00:00
A. Datum Corporation,151,57.3%,11.6,2.0,7.7%,2025-08-24 00:00:00
A. Datum Corporation,152,47.0%,11.2,1.6,6.7%,2025-08-31 00:00:00
A. Datum Corporation,154,42.2%,12.0,2.2,5.2%,2025-09-07 00:00:00
A. Datum Corporation,156,47.4%,10.3,2.1,7.8%,2025-09-14 00:00:00
A. Datum Corporation,157,33.2%,7.7,2.0,7.1%,2025-09-21 00:00:00
A. Datum Corporation,159,53.4%,9.7,1.7,3.7%,2025-09-28 00:00:00
A. Datum Corporation,160,62.1%,6.0,2.0,6.3%,2025-10-05 00:00:00
A. Datum Corporation,162,49.5%,8.7,1.7,3.3%,2025-10-12 00:00:00
A. Datum Corporation,163,38.3%,6.5,1.3,4.6%,2025-10-19 00:00:00
A. Datum Corporation,165,56.4%,9.3,2.3,4.8%,2025-10-26 00:00:00
A. Datum Corporation,167,58.8%,6.4,1.5,6.4%,2025-11-02 00:00:00
A. Datum Corporation,168,58.0%,8.0,2.1,4.4%,2025-11-09 00:00:00
A. Datum Corporation,170,35.8%,11.0,1.6,5.1%,2025-11-16 00:00:00
A. Datum Corporation,171,54.7%,9.2,2.0,3.6%,2025-11-23 00:00:00
A. Datum Corporation,173,48.3%,8.2,2.3,5.5%,2025-11-30 00:00:00
A. Datum Corporation,175,66.6%,25.3,3.0,17.9%,2025-12-07 00:00:00
A. Datum Corporation,176,75.9%,22.9,3.1,19.6%,2025-12-14 00:00:00
A. Datum Corporation,178,63.5%,19.8,4.1,14.6%,2025-12-21 00:00:00
A. Datum Corporation,179,64.7%,19.4,2.9,18.7%,2025-12-28 00:00:00
A. Datum Corporation,181,63.5%,16.1,3.8,18.8%,2026-01-04 00:00:00
A. Datum Corporation,182,63.0%,21.6,2.9,15.5%,2026-01-11 00:00:00
A. Datum Corporation,184,71.2%,15.7,2.9,15.2%,2026-01-18 00:00:00
A. Datum Corporation,186,68.5%,15.0,3.9,17.7%,2026-01-25 00:00:00
A. Datum Corporation,187,79.9%,23.0,3.2,16.6%,2026-02-01 00:00:00
A. Datum Corporation,189,74.4%,18.6,2.9,13.5%,2026-02-08 00:00:00
A. Datum Corporation,190,75.2%,18.2,3.4,13.3%,2026-02-15 00:00:00
A. Datum Corporation,192,66.3%,19.6,3.1,15.7%,2026-02-22 00:00:00
A. Datum Corporation,194,74.0%,19.9,3.0,14.7%,2026-03-01 00:00:00
Blue Yonder Airlines,259,25.1%,4.4,0.7,,2025-03-30 00:00:00
Blue Yonder Airlines,262,21.4%,2.6,1.1,,2025-04-06 00:00:00
Blue Yonder Airlines,265,28.9%,3.3,0.8,,2025-04-13 00:00:00
Blue Yonder Airlines,269,34.7%,4.0,0.6,,2025-04-20 00:00:00
Blue Yonder Airlines,272,32.8%,2.9,1.1,,2025-04-27 00:00:00
Blue Yonder Airlines,275,25.9%,2.8,0.9,,2025-05-04 00:00:00
Blue Yonder Airlines,279,18.4%,3.3,1.2,,2025-05-11 00:00:00
Blue Yonder Airlines,282,21.3%,5.0,1.1,,2025-05-18 00:00:00
Blue Yonder Airlines,286,26.5%,2.6,0.9,,2025-05-25 00:00:00
Blue Yonder Airlines,289,34.4%,3.5,0.9,,2025-06-01 00:00:00
Blue Yonder Airlines,292,30.2%,3.3,1.5,,2025-06-08 00:00:00
Blue Yonder Airlines,296,29.5%,4.7,1.4,,2025-06-15 00:00:00
Blue Yonder Airlines,299,24.4%,4.6,0.4,,2025-06-22 00:00:00
Blue Yonder Airlines,303,24.1%,3.6,0.8,,2025-06-29 00:00:00
Blue Yonder Airlines,306,20.4%,3.8,1.1,,2025-07-06 00:00:00
Blue Yonder Airlines,309,26.8%,3.5,1.1,,2025-07-13 00:00:00
Blue Yonder Airlines,313,54.2%,9.5,2.4,3.7%,2025-07-20 00:00:00
Blue Yonder Airlines,316,53.3%,9.9,2.2,4.0%,2025-07-27 00:00:00
Blue Yonder Airlines,320,37.0%,8.6,2.2,3.9%,2025-08-03 00:00:00
Blue Yonder Airlines,323,39.1%,7.0,1.9,5.9%,2025-08-10 00:00:00
Blue Yonder Airlines,326,51.3%,10.8,1.7,4.6%,2025-08-17 00:00:00
Blue Yonder Airlines,330,41.6%,7.3,2.0,5.1%,2025-08-24 00:00:00
Blue Yonder Airlines,333,44.5%,7.6,1.6,7.2%,2025-08-31 00:00:00
Blue Yonder Airlines,337,58.6%,11.5,2.0,7.0%,2025-09-07 00:00:00
Blue Yonder Airlines,340,54.4%,9.4,2.0,7.5%,2025-09-14 00:00:00
Blue Yonder Airlines,343,47.1%,7.3,2.1,5.8%,2025-09-21 00:00:00
Blue Yonder Airlines,347,48.6%,11.0,2.4,8.0%,2025-09-28 00:00:00
Blue Yonder Airlines,350,58.8%,7.7,1.9,4.8%,2025-10-05 00:00:00
Blue Yonder Airlines,354,41.4%,11.5,1.7,6.3%,2025-10-12 00:00:00
Blue Yonder Airlines,357,46.5%,8.7,1.9,4.4%,2025-10-19 00:00:00
Blue Yonder Airlines,360,40.5%,8.9,2.2,5.2%,2025-10-26 00:00:00
Blue Yonder Airlines,364,50.4%,10.5,1.6,4.3%,2025-11-02 00:00:00
Blue Yonder Airlines,367,32.8%,8.1,2.2,7.6%,2025-11-09 00:00:00
Blue Yonder Airlines,371,55.6%,6.1,1.9,4.4%,2025-11-16 00:00:00
Blue Yonder Airlines,374,49.8%,10.1,2.2,7.0%,2025-11-23 00:00:00
Blue Yonder Airlines,377,58.4%,6.9,2.1,3.2%,2025-11-30 00:00:00
Blue Yonder Airlines,381,67.2%,17.9,3.0,19.4%,2025-12-07 00:00:00
Blue Yonder Airlines,384,79.6%,22.3,3.0,19.9%,2025-12-14 00:00:00
Blue Yonder Airlines,388,78.7%,14.6,3.8,12.4%,2025-12-21 00:00:00
Blue Yonder Airlines,391,58.9%,15.4,3.0,17.0%,2025-12-28 00:00:00
Blue Yonder Airlines,394,70.8%,14.7,3.6,17.7%,2026-01-04 00:00:00
Blue Yonder Airlines,398,62.6%,18.7,4.0,19.3%,2026-01-11 00:00:00
Blue Yonder Airlines,401,69.5%,19.0,3.8,13.6%,2026-01-18 00:00:00
Blue Yonder Airlines,405,67.7%,19.5,2.6,13.3%,2026-01-25 00:00:00
Blue Yonder Airlines,408,77.8%,20.7,3.9,16.7%,2026-02-01 00:00:00
Blue Yonder Airlines,411,72.0%,22.4,3.7,13.5%,2026-02-08 00:00:00
Blue Yonder Airlines,415,73.8%,21.1,4.1,19.5%,2026-02-15 00:00:00
Blue Yonder Airlines,418,61.2%,22.4,3.9,19.6%,2026-02-22 00:00:00
Blue Yonder Airlines,422,67.4%,20.4,4.0,13.0%,2026-03-01 00:00:00
City Power & Light,148,26.4%,4.4,0.8,,2025-03-30 00:00:00
City Power & Light,149,31.8%,3.3,1.0,,2025-04-06 00:00:00
City Power & Light,150,32.6%,2.8,1.3,,2025-04-13 00:00:00
City Power & Light,152,32.7%,2.3,0.6,,2025-04-20 00:00:00
City Power & Light,153,32.5%,2.5,1.1,,2025-04-27 00:00:00
City Power & Light,155,18.7%,3.6,1.2,,2025-05-04 00:00:00
City Power & Light,156,30.7%,2.0,1.4,,2025-05-11 00:00:00
City Power & Light,158,29.3%,4.7,1.0,,2025-05-18 00:00:00
City Power & Light,159,23.3%,2.2,1.2,,2025-05-25 00:00:00
City Power & Light,161,27.6%,4.9,1.5,,2025-06-01 00:00:00
City Power & Light,162,24.9%,2.8,1.0,,2025-06-08 00:00:00
City Power & Light,164,24.3%,2.6,1.1,,2025-06-15 00:00:00
City Power & Light,165,29.8%,2.5,0.7,,2025-06-22 00:00:00
City Power & Light,166,28.4%,1.9,1.1,,2025-06-29 00:00:00
City Power & Light,168,23.5%,2.2,1.0,,2025-07-06 00:00:00
City Power & Light,169,21.6%,2.8,0.7,,2025-07-13 00:00:00
City Power & Light,171,43.2%,9.1,1.4,7.4%,2025-07-20 00:00:00
City Power & Light,172,53.9%,11.0,2.3,7.7%,2025-07-27 00:00:00
City Power & Light,174,55.5%,8.4,1.6,3.8%,2025-08-03 00:00:00
City Power & Light,175,44.7%,7.3,1.5,5.1%,2025-08-10 00:00:00
City Power & Light,177,35.9%,8.4,2.0,4.7%,2025-08-17 00:00:00
City Power & Light,178,42.6%,9.2,2.0,4.0%,2025-08-24 00:00:00
City Power & Light,180,42.5%,6.0,2.1,7.2%,2025-08-31 00:00:00
City Power & Light,181,48.5%,6.8,2.2,5.8%,2025-09-07 00:00:00
City Power & Light,183,48.0%,9.2,1.6,6.7%,2025-09-14 00:00:00
City Power & Light,184,44.9%,6.5,2.0,6.1%,2025-09-21 00:00:00
City Power & Light,185,38.4%,7.3,1.6,4.4%,2025-09-28 00:00:00
City Power & Light,187,54.3%,5.9,2.2,6.1%,2025-10-05 00:00:00
City Power & Light,188,56.4%,9.9,2.2,3.7%,2025-10-12 00:00:00
City Power & Light,190,50.1%,5.8,2.4,5.9%,2025-10-19 00:00:00
City Power & Light,191,52.8%,8.7,1.4,6.6%,2025-10-26 00:00:00
City Power & Light,193,56.0%,10.3,2.3,7.3%,2025-11-02 00:00:00
City Power & Light,194,50.9%,9.6,1.4,5.8%,2025-11-09 00:00:00
City Power & Light,196,50.2%,11.2,2.4,7.3%,2025-11-16 00:00:00
City Power & Light,197,51.8%,6.7,2.3,4.7%,2025-11-23 00:00:00
City Power & Light,199,42.2%,10.1,1.6,5.1%,2025-11-30 00:00:00
City Power & Light,200,75.8%,23.8,2.7,12.7%,2025-12-07 00:00:00
City Power & Light,201,74.2%,20.8,3.5,13.8%,2025-12-14 00:00:00
City Power & Light,203,64.3%,16.9,3.0,13.4%,2025-12-21 00:00:00
City Power & Light,204,71.3%,18.4,3.0,17.3%,2025-12-28 00:00:00
City Power & Light,206,67.7%,20.1,3.8,18.4%,2026-01-04 00:00:00
City Power & Light,207,67.3%,18.7,3.2,14.3%,2026-01-11 00:00:00
City Power & Light,209,72.4%,21.2,3.2,15.6%,2026-01-18 00:00:00
City Power & Light,210,73.3%,24.4,3.2,14.3%,2026-01-25 00:00:00
City Power & Light,212,74.1%,21.2,3.1,14.8%,2026-02-01 00:00:00
City Power & Light,213,66.6%,16.1,3.3,16.9%,2026-02-08 00:00:00
City Power & Light,215,59.7%,23.2,3.4,16.8%,2026-02-15 00:00:00
City Power & Light,216,80.5%,18.2,3.2,13.6%,2026-02-22 00:00:00
City Power & Light,218,74.3%,22.3,3.0,13.8%,2026-03-01 00:00:00
Coho Winery,54,28.2%,2.0,1.2,,2025-03-30 00:00:00
Coho Winery,54,28.4%,3.9,0.4,,2025-04-06 00:00:00
Coho Winery,55,35.2%,1.9,0.9,,2025-04-13 00:00:00
Coho Winery,55,30.3%,4.1,0.9,,2025-04-20 00:00:00
Coho Winery,56,36.4%,5.2,0.5,,2025-04-27 00:00:00
Coho Winery,56,32.4%,3.2,1.0,,2025-05-04 00:00:00
Coho Winery,57,24.9%,3.1,0.8,,2025-05-11 00:00:00
Coho Winery,57,29.6%,2.5,0.8,,2025-05-18 00:00:00
Coho Winery,58,34.8%,2.5,0.5,,2025-05-25 00:00:00
Coho Winery,58,34.7%,2.3,1.1,,2025-06-01 00:00:00
Coho Winery,59,31.1%,4.1,1.3,,2025-06-08 00:00:00
Coho Winery,59,24.7%,2.7,1.1,,2025-06-15 00:00:00
Coho Winery,60,22.3%,4.6,1.5,,2025-06-22 00:00:00
Coho Winery,61,26.0%,2.7,1.1,,2025-06-29 00:00:00
Coho Winery,61,18.4%,4.4,0.7,,2025-07-06 00:00:00
Coho Winery,62,33.6%,3.6,1.2,,2025-07-13 00:00:00
Coho Winery,62,50.9%,7.1,2.2,4.0%,2025-07-20 00:00:00
Coho Winery,63,47.7%,9.6,1.7,4.3%,2025-07-27 00:00:00
Coho Winery,63,40.7%,7.2,2.1,7.9%,2025-08-03 00:00:00
Coho Winery,64,36.3%,12.2,2.0,4.7%,2025-08-10 00:00:00
Coho Winery,64,48.2%,8.2,2.6,5.2%,2025-08-17 00:00:00
Coho Winery,65,59.6%,8.0,2.4,6.6%,2025-08-24 00:00:00
Coho Winery,65,49.4%,9.9,1.9,7.6%,2025-08-31 00:00:00
Coho Winery,66,51.2%,6.7,1.9,5.8%,2025-09-07 00:00:00
Coho Winery,67,36.8%,10.2,2.6,5.4%,2025-09-14 00:00:00
Coho Winery,67,40.7%,10.6,1.6,7.9%,2025-09-21 00:00:00
Coho Winery,68,45.5%,12.1,1.7,4.0%,2025-09-28 00:00:00
Coho Winery,68,44.6%,5.9,1.6,4.4%,2025-10-05 00:00:00
Coho Winery,69,52.8%,10.0,1.7,7.3%,2025-10-12 00:00:00
Coho Winery,69,46.9%,7.5,2.1,3.8%,2025-10-19 00:00:00
Coho Winery,70,49.0%,8.4,2.3,5.3%,2025-10-26 00:00:00
Coho Winery,70,40.7%,7.8,1.6,3.6%,2025-11-02 00:00:00
Coho Winery,71,55.9%,8.6,1.6,3.8%,2025-11-09 00:00:00
Coho Winery,71,56.1%,10.0,2.1,4.3%,2025-11-16 00:00:00
Coho Winery,72,40.7%,8.3,2.2,4.8%,2025-11-23 00:00:00
Coho Winery,72,50.8%,9.2,2.4,5.6%,2025-11-30 00:00:00
Coho Winery,73,61.5%,22.5,3.1,19.8%,2025-12-07 00:00:00
Coho Winery,74,73.2%,22.8,3.8,15.7%,2025-12-14 00:00:00
Coho Winery,74,66.4%,20.9,3.6,16.7%,2025-12-21 00:00:00
Coho Winery,75,73.2%,18.1,2.7,14.4%,2025-12-28 00:00:00
Coho Winery,75,70.7%,15.8,3.4,18.2%,2026-01-04 00:00:00
Coho Winery,76,59.4%,23.1,3.0,13.5%,2026-01-11 00:00:00
Coho Winery,76,75.2%,24.9,3.7,18.3%,2026-01-18 00:00:00
Coho Winery,77,72.0%,23.7,3.2,12.4%,2026-01-25 00:00:00
Coho Winery,77,72.6%,19.0,3.1,19.2%,2026-02-01 00:00:00
Coho Winery,78,60.2%,21.0,3.7,13.9%,2026-02-08 00:00:00
Coho Winery,78,58.9%,16.8,3.4,13.4%,2026-02-15 00:00:00
Coho Winery,79,74.2%,24.6,3.7,18.6%,2026-02-22 00:00:00
Coho Winery,80,75.5%,25.0,3.8,15.9%,2026-03-01 00:00:00
Consolidated Messenger,115,26.2%,5.0,0.7,,2025-03-30 00:00:00
Consolidated Messenger,116,27.1%,3.0,1.1,,2025-04-06 00:00:00
Consolidated Messenger,117,22.7%,3.5,1.2,,2025-04-13 00:00:00
Consolidated Messenger,119,22.2%,3.8,0.8,,2025-04-20 00:00:00
Consolidated Messenger,120,28.1%,2.8,1.4,,2025-04-27 00:00:00
Consolidated Messenger,122,21.1%,4.0,1.2,,2025-05-04 00:00:00
Consolidated Messenger,123,33.6%,4.8,1.6,,2025-05-11 00:00:00
Consolidated Messenger,125,22.1%,2.5,1.1,,2025-05-18 00:00:00
Consolidated Messenger,126,20.2%,2.8,0.7,,2025-05-25 00:00:00
Consolidated Messenger,128,20.2%,3.8,1.0,,2025-06-01 00:00:00
Consolidated Messenger,129,23.0%,5.0,1.2,,2025-06-08 00:00:00
Consolidated Messenger,131,33.9%,4.0,0.8,,2025-06-15 00:00:00
Consolidated Messenger,132,23.8%,2.4,1.0,,2025-06-22 00:00:00
Consolidated Messenger,133,28.9%,3.5,0.7,,2025-06-29 00:00:00
Consolidated Messenger,135,26.1%,2.7,1.3,,2025-07-06 00:00:00
Consolidated Messenger,136,36.8%,3.5,1.2,,2025-07-13 00:00:00
Consolidated Messenger,138,46.8%,10.2,1.8,3.4%,2025-07-20 00:00:00
Consolidated Messenger,139,39.0%,10.4,2.3,4.3%,2025-07-27 00:00:00
Consolidated Messenger,141,37.5%,7.5,1.8,3.6%,2025-08-03 00:00:00
Consolidated Messenger,142,57.4%,9.5,2.1,4.3%,2025-08-10 00:00:00
Consolidated Messenger,144,41.5%,10.4,2.4,3.9%,2025-08-17 00:00:00
Consolidated Messenger,145,38.4%,10.1,2.0,3.1%,2025-08-24 00:00:00
Consolidated Messenger,147,54.5%,11.4,2.0,4.1%,2025-08-31 00:00:00
Consolidated Messenger,148,43.7%,11.7,1.8,8.0%,2025-09-07 00:00:00
Consolidated Messenger,150,51.7%,8.6,1.4,4.8%,2025-09-14 00:00:00
Consolidated Messenger,151,56.1%,9.2,2.3,4.3%,2025-09-21 00:00:00
Consolidated Messenger,152,35.5%,8.2,2.4,3.0%,2025-09-28 00:00:00
Consolidated Messenger,154,44.0%,8.7,1.6,6.6%,2025-10-05 00:00:00
Consolidated Messenger,155,46.2%,12.3,1.7,5.3%,2025-10-12 00:00:00
Consolidated Messenger,157,46.2%,12.0,1.6,3.5%,2025-10-19 00:00:00
Consolidated Messenger,158,47.6%,7.5,1.7,7.6%,2025-10-26 00:00:00
Consolidated Messenger,160,58.5%,9.3,2.5,6.7%,2025-11-02 00:00:00
Consolidated Messenger,161,56.7%,9.7,2.5,6.3%,2025-11-09 00:00:00
Consolidated Messenger,163,44.5%,9.5,2.1,7.0%,2025-11-16 00:00:00
Consolidated Messenger,164,42.9%,7.4,1.9,5.1%,2025-11-23 00:00:00
Consolidated Messenger,166,36.2%,9.7,2.3,7.6%,2025-11-30 00:00:00
Consolidated Messenger,167,71.9%,23.2,3.1,14.8%,2025-12-07 00:00:00
Consolidated Messenger,168,69.0%,21.6,3.0,12.2%,2025-12-14 00:00:00
Consolidated Messenger,170,74.2%,17.5,2.9,18.4%,2025-12-21 00:00:00
Consolidated Messenger,171,64.3%,21.1,3.4,17.0%,2025-12-28 00:00:00
Consolidated Messenger,173,70.3%,19.4,3.6,17.9%,2026-01-04 00:00:00
Consolidated Messenger,174,59.2%,23.5,2.7,14.1%,2026-01-11 00:00:00
Consolidated Messenger,176,63.7%,16.7,3.1,15.9%,2026-01-18 00:00:00
Consolidated Messenger,177,74.2%,16.7,2.8,18.4%,2026-01-25 00:00:00
Consolidated Messenger,179,73.6%,18.5,3.3,14.4%,2026-02-01 00:00:00
Consolidated Messenger,180,75.5%,15.9,3.9,19.3%,2026-02-08 00:00:00
Consolidated Messenger,182,75.4%,15.5,3.8,12.4%,2026-02-15 00:00:00
